"SENTIDO","NAVEGACAO","PAIS_PORTO_ESTRANG","BERCO","ATRACACAO","MES_ATRAC","ANO_ATRAC","DESATRACACAO","ANO_DESAT","CAPITULO","SECAO","TIPO_CARGA","GRUPOANTAQ"
"Embarque","CB","GUERNSEY, ILHA DO CANAL (INCLUI ALDERNEY E SARK)","202","03/02/2025 02:40","2","2025","2/3/2925 2:40","2025",""," Outras carnes de animais da espécie ovina, frescas ou refrigeradas","GRANEL SÓLIDO","Copolímero de fluoreto de vinilideno e hexafluorpropileno "
"Embarque","CB","GUIANA","202","03/02/2025 02:40","2","2025","2/3/2925 2:40","2025",""," Carcaças e meiascarcaças ","GRANEL SÓLIDO","Outros "
"Embarque","CB","GUIANA FRANCESA","202","03/02/2025 02:40","2","2025","2/3/2925 2:40","2025",""," Outras peças não desossadas ","GRANEL SÓLIDO"," Outros"
"Desembarque","CB","GUINE","202","02/02/2025 09:40","2","2025","2/2/2925 9:40","2025",""," Desossadas ","GRANEL SÓLIDO","Poli(cloreto de vinila) clorado "
"Desembarque","CB","GUINE-BISSAU","301","06/02/2025 09:30","2","2025","2/3/2925 9:31","2025",""," Carcaças e meiascarcaças de cordeiro, congeladas ","GRANEL SÓLIDO","Outros "
"Desembarque","CB","GUINE-EQUATORIAL","301","06/02/2025 09:30","2","2025","2/3/2925 9:31","2025",""," Outras carnes de animais da espécie ovina, congeladas","GRANEL SÓLIDO","Polímeros de acetato de vinila ou de outros ésteres de vinila, em formas primárias; outros polímeros de vinila, em formas primárias."
"Desembarque","CB","HAITI","301","06/02/2025 09:30","2","2025","2/3/2925 9:31","2025",""," Carcaças e meiascarcaças ","GRANEL SÓLIDO"," Poli(acetato de vinila):"
"Desembarque","CB","HOLANDA (PAISES BAIXOS)","201","1/17/2025 7:55","1","2025","1/17/2925 7:55","2025",""," Outras peças não desossadas ","GRANEL SÓLIDO"," Em dispersão aquosa "
"Embarque","LC","HONDURAS","202","1/6/2025 10:23","1","2025","1/3/2925 8:23","2025",""," Desossadas ","GRANEL SÓLIDO"," Outro"
"Embarque","LC","HONG KONG","202","1/6/2025 10:23","1","2025","1/3/2925 8:23","2025",""," Carnes de animais da espécie caprina ","GRANEL SÓLIDO","Com grupos álcool vinílico, nas formas previstas na Nota 6 b) deste Capítulo "
"Embarque","CB","HUNGRIA","301","16/01/2025 14:35","1","2025","1/16/2925 22:35","2025","","Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas. ","GRANEL SÓLIDO","Outro "
"Embarque","CB","IEMEN","301","16/01/2025 14:35","1","2025","1/16/2925 22:35","2025","","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.","GRANEL SÓLIDO"," Copolímeros de acetato de vinila:"
"Desembarque","CB","INDIA","301","11/01/2025 08:30","1","2025","1/11/2925 8:31","2025",""," Da espécie bovina, frescas ou refrigeradas ","GRANEL SÓLIDO"," Em dispersão aquosa "
"Desembarque","CB","INDONESIA","301","11/01/2025 08:30","1","2025","1/11/2925 8:31","2025",""," Da espécie bovina, congeladas","GRANEL SÓLIDO"," Outros "
"Embarque","LC","IRA","202","1/23/2025 14:23","1","2025","1/23/2925 22:23","2025",""," Línguas ","GRANEL SÓLIDO"," Poli(álcool vinílico), mesmo que contenha grupos acetato não hidrolisados "
"Embarque","CB","IRAQUE","202","13/01/2025 07:00","1","2025","1/13/2925 7:04","2025",""," Fígados ","GRANEL SÓLIDO"," Outros:"
"Embarque","CB","IRLANDA","202","13/01/2025 07:00","1","2025","1/13/2925 7:04","2025",""," Outras","GRANEL SÓLIDO"," Copolímeros"
"Embarque","CB","ISLANDIA","102","24/01/2025 16:06","1","2025","1/24/2925 16:03","2025","","Rabos ","GRANEL LÍQUIDO","De vinilpirrolidona e acetato de vinila, em solução alcoólica "
"Desembarque","CB","ISRAEL","301","17/01/2025 11:50","1","2025","1/17/2925 11:50","2025","","Outros ","GRANEL SÓLIDO","Outros "
"Embarque","CB","ITALIA","202","24/01/2025 04:45","1","2025","1/24/2925 11:55","2025",""," Da espécie suína, frescas ou refrigeradas ","GRANEL SÓLIDO"," Outros"
"Embarque","CB","JAMAICA","202","24/01/2025 04:45","1","2025","1/24/2925 11:55","2025",""," Da espécie suína, congeladas","GRANEL SÓLIDO","Poli(vinilformal) "
"Embarque","CB","JAPAO","202","24/01/2025 04:45","1","2025","1/24/2925 11:55","2025",""," Fígados ","GRANEL SÓLIDO","Poli(butiral de vinila) "
"Embarque","CB","JERSEY, ILHA DO CANAL","202","1/17/2025 17:23","1","2025","1/17/2925 17:23","2025",""," Outras ","GRANEL SÓLIDO","Poli(vinilpirrolidona) iodada "
"Desembarque","LC","JOHNSTON","201","15/01/2025 13:45","1","2025","1/15/2925 13:55","2025",""," Outras, frescas ou refrigeradas ","GRANEL SÓLIDO","Outros "
"Desembarque","LC","JORDANIA","201","15/01/2025 13:45","1","2025","1/15/2925 13:55","2025",""," Outras, congeladas ","GRANEL SÓLIDO","Polímeros acrílicos, em formas primárias."
"Embarque","CB","KIRIBATI","103","16/01/2025 15:40","1","2025","1/16/2925 15:40","2025","","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.","GRANEL SÓLIDO"," Poli(metacrilato de metila) "
"Embarque","CB","KUWEIT","202","1/21/2025 23:40","1","2025","1/21/2925 23:40","2025",""," De aves da espécie Gallus domesticus","GRANEL SÓLIDO","Em pó, de granulometria de 50 a 400 mesh, próprio para uso odontológico"
"Embarque","CB","LAOS","202","1/21/2025 23:40","1","2025","1/21/2925 23:40","2025",""," Não cortadas em pedaços, frescas ou refrigeradas ","GRANEL SÓLIDO"," Outros"
"Embarque","CB","LESOTO","301","21/01/2025 16:00","1","2025","1/21/2925 16:04","2025",""," Não cortadas em pedaços, congeladas ","GRANEL SÓLIDO","Nas formas previstas na Nota 6 a) deste Capítulo, em água"
"Desembarque","CB","LETONIA","101","1/30/2025 11:10","1","2025","1/31/2925 11:08","2025","","       Com miudezas","GRANEL LÍQUIDO","Poli(ácido acrílico) e seus sais "
"Desembarque","CB","LIBANO","101","1/30/2025 11:10","1","2025","1/31/2925 11:08","2025","","       Sem miudezas","GRANEL LÍQUIDO","Sal sódico do poli(ácido acrilamídico), solúvel em água "
"Desembarque","CB","LIBERIA","201","1/20/2025 10:25","1","2025","1/29/2925 8:25","2025",""," Pedaços e miudezas, frescos ou refrigerados ","GRANEL SÓLIDO","Outros "
"Embarque","CB","LIBIA","301","03/02/2025 15:50","2","2025","2/3/2925 15:50","2025",""," Pedaços e miudezas, congelados ","GRANEL SÓLIDO","Nas formas previstas na Nota 6 a) deste Capítulo, em solventes orgânicos"
"Embarque","CB","LIECHTENSTEIN","301","31/01/2025 13:25","1","2025","1/31/2925 13:25","2025","","    Pedaços não desossados","GRANEL SÓLIDO","Poli(ácido acrílico) e seus sais "
"Embarque","CB","LITUANIA","301","2/23/2025 10:55","2","2025","2/23/2925 8:55","2025","","      Peitos","GRANEL SÓLIDO","Copolímero de metacrilato de 2diisopropilaminoetila e metacrilato de ndecila, em suspensão de dimetilacetamida "
"Embarque","CB","LUXEMBURGO","301","2/23/2025 10:55","2","2025","2/23/2925 8:55","2025","","      Coxas com sobrecoxas","GRANEL SÓLIDO","Outros "
"Embarque","CB","MACAU","202","06/02/2025 01:00","2","2025","2/3/2925 1:04","2025","","      Asas","GRANEL SÓLIDO","Nas formas previstas na Nota 6 a) deste Capítulo, em outros solventes ou sem solvente"
"Embarque","CB","MACEDONIA DO NORTE","202","06/02/2025 01:00","2","2025","2/3/2925 1:04","2025","","      Outros","GRANEL SÓLIDO","Poli(ácido acrílico) e seus sais "
"Desembarque","CB","MADAGASCAR","201","1/25/2025 23:23","1","2025","1/25/2925 23:23","2025","","    Pedaços desossados","GRANEL SÓLIDO","Sal sódico do poli(ácido acrilamídico), solúvel em água "
"Desembarque","CB","MADEIRA","201","1/25/2025 23:23","1","2025","1/25/2925 23:23","2025","","      Peitos, coxas e sobrecoxas, formando uma só peça","GRANEL SÓLIDO","Outros "
