"SENTIDO","NAVEGACAO","PAIS_PORTO_ESTRANG","REGIAO_ORIGEM","BERCO","PORTO_ATRACACAO","ATRACACAO","MES_ATRAC","ANO_ATRAC","DESATRACACAO","ANO_DESAT","TEMPO_ESTADIA_HORAS","CAPITULO","SECAO","TIPO_CARGA","TIPO_CARGA_MACRO","GRUPOANTAQ","NAVIO","IMO","TIPO_NAVIO","PORTE_NAVIO","CLIMA_DIA","MARE_DIA","DIA_SEMANA","TURNO","PORTO_ORIGEM","PORTO_DESTINO"
"Descarga","CB","PERU","AMERICA DO SUL","104","Aratu","6/21/2024 21:43","6","2024","6/23/2024 2:43","2024","29","5","Secao 10","Carga 5","GRANEL LÍQUIDO","Grupo 7","Navio 30","9482578","Breakbulk","Grande","Sol","Normal","Sábado","Tarde","Salvador","Aratu"
"Embarque","CB","ARGENTINA","AMERICA DO SUL","101","Aratu","5/13/2024 12:20","5","2024","5/14/2024 5:20","2024","17","11","Secao 7","Carga 3","GRANEL SÓLIDO","Grupo 5","Navio 31","7343539","Frigorificado","Pequeno","Instável","Normal","Quarta","Manhã","Salvador","Aratu"
"Descarga","LC","URUGUAI","AMERICA DO SUL","201","Salvador","1/16/2024 7:12","1","2024","1/16/2024 12:12","2024","5","5","Secao 8","Carga 1","CARGA GERAL","Grupo 8","Navio 32","9933768","Carga Geral","Médio","Sol","Normal","Domingo","Manhã","Ilhéus","Salvador"
"Embarque","LC","EUA","AMERICA DO NORTE","201","Salvador","6/8/2024 18:43","6","2024","6/9/2024 22:43","2024","28","3","Secao 10","Carga 2","CARGA GERAL","Grupo 5","Navio 33","9869990","Breakbulk","Pequeno","Instável","Normal","Quarta","Noite","Ilhéus","Salvador"
"Embarque","CB","PERU","AMERICA DO SUL","101","Ilhéus","9/16/2024 20:21","9","2024","9/17/2024 0:21","2024","4","4","Secao 7","Carga 3","GRANEL SÓLIDO","Grupo 3","Navio 34","8826565","Tanque","Grande","Instável","Baixa","Sexta","Noite","Aratu","Ilhéus"
"Descarga","CB","ESPANHA","EUROPA","202","Aratu","10/30/2024 8:20","10","2024","10/31/2024 3:20","2024","19","15","Secao 4","Carga 4","GRANEL LÍQUIDO","Grupo 6","Navio 35","7120376","Frigorificado","Médio","Sol","Extrema","Terça","Tarde","Aratu","Aratu"
"Descarga","LC","EUA","AMERICA DO NORTE","105","Aratu","12/25/2024 8:35","12","2024","12/25/2024 12:35","2024","4","8","Secao 7","Carga 4","GRANEL SÓLIDO","Grupo 8","Navio 36","9709113","Frigorificado","Médio","Sol","Normal","Quarta","Manhã","Aratu","Aratu"
"Embarque","CB","PERU","AMERICA DO SUL","101","Ilhéus","12/5/2024 18:23","12","2024","12/7/2024 4:23","2024","34","18","Secao 6","Carga 3","GRANEL LÍQUIDO","Grupo 5","Navio 37","8286070","Carga Geral","Pequeno","Sol","Alta","Quarta","Manhã","Salvador","Ilhéus"
"Embarque","LC","ITÁLIA","EUROPA","102","Ilhéus","4/20/2024 23:30","4","2024","4/21/2024 20:30","2024","21","7","Secao 5","Carga 2","CARGA GERAL","Grupo 3","Navio 38","8267802","Graneleiro","Grande","Instável","Alta","Quarta","Manhã","Salvador","Ilhéus"
"Descarga","LC","ALEMANHA","EUROPA","102","Ilhéus","3/5/2024 20:55","3","2024","3/7/2024 7:55","2024","35","19","Secao 5","Carga 4","CARGA GERAL","Grupo 8","Navio 39","8429024","Tanque","Pequeno","Chuva","Extrema","Segunda","Manhã","Aratu","Ilhéus"
"Descarga","CB","PERU","AMERICA DO SUL","103","Aratu","11/18/2024 21:03","11","2024","11/19/2024 10:03","2024","13","3","Secao 4","Carga 1","GRANEL SÓLIDO","Grupo 10","Navio 40","9500337","Breakbulk","Pequeno","Instável","Extrema","Quinta","Tarde","Salvador","Aratu"
"Descarga","LC","EUA","AMERICA DO NORTE","103","Ilhéus","10/18/2024 19:03","10","2024","10/19/2024 5:03","2024","10","9","Secao 2","Carga 2","GRANEL SÓLIDO","Grupo 3","Navio 41","9315223","Graneleiro","Pequeno","Sol","Extrema","Quinta","Noite","Aratu","Ilhéus"
"Embarque","LC","FRANÇA","EUROPA","101","Aratu","4/28/2024 9:45","4","2024","4/29/2024 7:45","2024","22","8","Secao 5","Carga 5","GRANEL SÓLIDO","Grupo 7","Navio 42","7481406","Breakbulk","Pequeno","Instável","Alta","Quarta","Manhã","Aratu","Aratu"
"Embarque","LC","BRASIL","AMERICA DO SUL","202","Salvador","6/6/2024 19:47","6","2024","6/7/2024 17:47","2024","22","15","Secao 5","Carga 4","CARGA GERAL","Grupo 9","Navio 43","9264846","Frigorificado","Médio","Sol","Normal","Quinta","Noite","Salvador","Salvador"
"Embarque","LC","CANADÁ","AMERICA DO NORTE","101","Ilhéus","2/16/2024 7:43","2","2024","2/16/2024 12:43","2024","5","6","Secao 8","Carga 5","CARGA GERAL","Grupo 5","Navio 44","7761220","Breakbulk","Médio","Instável","Extrema","Segunda","Tarde","Aratu","Ilhéus"
"Embarque","CB","CANADÁ","AMERICA DO NORTE","103","Aratu","12/9/2024 3:54","12","2024","12/9/2024 17:54","2024","14","16","Secao 5","Carga 4","GRANEL LÍQUIDO","Grupo 8","Navio 45","7369349","Carga Geral","Médio","Chuva","Normal","Domingo","Tarde","Aratu","Aratu"
"Descarga","CB","ITÁLIA","EUROPA","202","Salvador","10/4/2024 14:26","10","2024","10/4/2024 21:26","2024","7","20","Secao 8","Carga 4","CARGA GERAL","Grupo 4","Navio 46","8120115","Breakbulk","Pequeno","Chuva","Extrema","Sábado","Tarde","Ilhéus","Salvador"
"Descarga","CB","BRASIL","AMERICA DO SUL","201","Salvador","5/2/2024 22:10","5","2024","5/3/2024 21:10","2024","23","3","Secao 4","Carga 1","PROJETO","Grupo 2","Navio 47","9716691","Tanque","Médio","Instável","Baixa","Sexta","Noite","Ilhéus","Salvador"
"Embarque","LC","EUA","AMERICA DO NORTE","104","Aratu","5/4/2024 14:35","5","2024","5/5/2024 3:35","2024","13","20","Secao 9","Carga 2","GRANEL LÍQUIDO","Grupo 5","Navio 48","8740394","Carga Geral","Grande","Chuva","Normal","Quarta","Noite","Aratu","Aratu"
"Embarque","CB","EUA","AMERICA DO NORTE","102","Ilhéus","9/7/2024 4:28","9","2024","9/8/2024 14:28","2024","34","18","Secao 9","Carga 4","CARGA GERAL","Grupo 6","Navio 49","7791265","Tanque","Grande","Chuva","Alta","Domingo","Tarde","Ilhéus","Ilhéus"
"Embarque","LC","ALEMANHA","EUROPA","202","Aratu","12/27/2024 12:24","12","2024","12/28/2024 1:24","2024","13","5","Secao 9","Carga 5","GRANEL LÍQUIDO","Grupo 2","Navio 50","8846778","Graneleiro","Grande","Chuva","Normal","Sábado","Manhã","Ilhéus","Aratu"
"Descarga","CB","PERU","AMERICA DO SUL","101","Ilhéus","8/28/2024 8:21","8","2024","8/29/2024 13:21","2024","29","18","Secao 7","Carga 3","CARGA GERAL","Grupo 9","Navio 51","7150571","Breakbulk","Pequeno","Sol","Baixa","Terça","Noite","Salvador","Ilhéus"
"Embarque","LC","BRASIL","AMERICA DO SUL","202","Aratu","11/20/2024 22:55","11","2024","11/21/2024 8:55","2024","10","10","Secao 1","Carga 1","GRANEL LÍQUIDO","Grupo 1","Navio 52","8230473","Carga Geral","Médio","Chuva","Alta","Terça","Noite","Salvador","Aratu"
"Embarque","LC","PERU","AMERICA DO SUL","202","Ilhéus","4/2/2024 5:11","4","2024","4/2/2024 14:11","2024","9","16","Secao 10","Carga 2","GRANEL SÓLIDO","Grupo 8","Navio 53","9675565","Carga Geral","Médio","Chuva","Normal","Domingo","Tarde","Ilhéus","Ilhéus"
"Embarque","CB","EUA","AMERICA DO NORTE","102","Ilhéus","2/7/2024 14:22","2","2024","2/8/2024 13:22","2024","23","15","Secao 5","Carga 2","GRANEL SÓLIDO","Grupo 8","Navio 54","7447336","Tanque","Médio","Instável","Baixa","Sexta","Tarde","Ilhéus","Ilhéus"
"Embarque","CB","EUA","AMERICA DO NORTE","201","Salvador","5/20/2024 0:36","5","2024","5/20/2024 7:36","2024","7","8","Secao 10","Carga 3","GRANEL SÓLIDO","Grupo 4","Navio 55","9604206","Carga Geral","Grande","Instável","Alta","Sábado","Manhã","Ilhéus","Salvador"
"Descarga","LC","URUGUAI","AMERICA DO SUL","103","Ilhéus","8/13/2024 1:37","8","2024","8/14/2024 4:37","2024","27","10","Secao 6","Carga 4","GRANEL SÓLIDO","Grupo 4","Navio 56","7554318","Breakbulk","Médio","Instável","Baixa","Domingo","Manhã","Salvador","Ilhéus"
"Descarga","LC","EUA","AMERICA DO NORTE","201","Aratu","6/22/2024 3:29","6","2024","6/22/2024 11:29","2024","8","13","Secao 9","Carga 3","GRANEL LÍQUIDO","Grupo 7","Navio 57","7058379","Carga Geral","Grande","Sol","Extrema","Quarta","Noite","Aratu","Aratu"
"Embarque","LC","URUGUAI","AMERICA DO SUL","104","Aratu","11/22/2024 11:06","11","2024","11/23/2024 5:06","2024","18","20","Secao 9","Carga 3","GRANEL SÓLIDO","Grupo 2","Navio 58","9665077","Frigorificado","Grande","Chuva","Extrema","Segunda","Manhã","Ilhéus","Aratu"
"Embarque","CB","ALEMANHA","EUROPA","201","Salvador","2/29/2024 3:15","2","2024","2/29/2024 15:15","2024","12","12","Secao 9","Carga 4","GRANEL SÓLIDO","Grupo 7","Navio 59","9746941","Graneleiro","Médio","Instável","Extrema","Quarta","Manhã","Aratu","Salvador"
"Embarque","LC","CANADÁ","AMERICA DO NORTE","201","Salvador","4/30/2024 11:06","4","2024","5/1/2024 14:06","2024","27","13","Secao 5","Carga 2","GRANEL SÓLIDO","Grupo 8","Navio 60","7384506","Tanque","Grande","Instável","Normal","Segunda","Tarde","Aratu","Salvador"
"Descarga","CB","CHINA","ASIA","202","Salvador","2/5/2024 17:13","2","2024","2/6/2024 10:13","2024","17","5","Secao 10","Carga 1","CARGA GERAL","Grupo 3","Navio 61","7545226","Breakbulk","Médio","Sol","Normal","Sábado","Manhã","Ilhéus","Salvador"
"Descarga","CB","ARGENTINA","AMERICA DO SUL","202","Salvador","5/1/2024 18:20","5","2024","5/1/2024 23:20","2024","5","2","Secao 3","Carga 4","GRANEL SÓLIDO","Grupo 2","Navio 62","8997520","Frigorificado","Médio","Instável","Normal","Quinta","Noite","Aratu","Salvador"
"Descarga","LC","CHINA","ASIA","201","Ilhéus","12/3/2024 16:19","12","2024","12/5/2024 1:19","2024","33","16","Secao 7","Carga 4","GRANEL LÍQUIDO","Grupo 8","Navio 63","9988027","Frigorificado","Pequeno","Sol","Baixa","Sexta","Manhã","Salvador","Ilhéus"
"Embarque","CB","BRASIL","AMERICA DO SUL","202","Salvador","11/20/2024 18:35","11","2024","11/21/2024 18:35","2024","24","15","Secao 9","Carga 5","PROJETO","Grupo 2","Navio 64","9943476","Graneleiro","Grande","Instável","Alta","Quinta","Tarde","Aratu","Salvador"
"Embarque","CB","CHINA","ASIA","202","Aratu","8/20/2024 12:26","8","2024","8/20/2024 22:26","2024","10","11","Secao 5","Carga 3","GRANEL SÓLIDO","Grupo 8","Navio 65","7281577","Graneleiro","Pequeno","Sol","Extrema","Segunda","Noite","Aratu","Aratu"
"Descarga","CB","CANADÁ","AMERICA DO NORTE","202","Salvador","10/27/2024 17:35","10","2024","10/28/2024 18:35","2024","25","12","Secao 7","Carga 1","CARGA GERAL","Grupo 10","Navio 66","8310505","Carga Geral","Pequeno","Instável","Alta","Terça","Noite","Ilhéus","Salvador"
"Descarga","CB","ESPANHA","EUROPA","202","Salvador","10/11/2024 11:07","10","2024","10/12/2024 8:07","2024","21","18","Secao 10","Carga 5","GRANEL SÓLIDO","Grupo 10","Navio 67","9759144","Carga Geral","Pequeno","Sol","Baixa","Sábado","Tarde","Salvador","Salvador"
"Descarga","LC","CANADÁ","AMERICA DO NORTE","102","Aratu","3/14/2024 18:42","3","2024","3/15/2024 23:42","2024","29","1","Secao 2","Carga 5","GRANEL SÓLIDO","Grupo 7","Navio 68","8760905","Frigorificado","Médio","Sol","Baixa","Quarta","Noite","Salvador","Aratu"
"Descarga","CB","CANADÁ","AMERICA DO NORTE","101","Ilhéus","1/27/2024 4:10","1","2024","1/27/2024 11:10","2024","7","15","Secao 7","Carga 4","GRANEL SÓLIDO","Grupo 7","Navio 69","8145744","Tanque","Grande","Sol","Baixa","Quinta","Manhã","Ilhéus","Ilhéus"
"Descarga","LC","EUA","AMERICA DO NORTE","105","Ilhéus","9/6/2024 16:42","9","2024","9/7/2024 15:42","2024","23","13","Secao 10","Carga 1","GRANEL LÍQUIDO","Grupo 4","Navio 70","8264244","Tanque","Pequeno","Chuva","Baixa","Quarta","Manhã","Ilhéus","Ilhéus"
"Embarque","LC","ALEMANHA","EUROPA","104","Aratu","3/30/2024 4:24","3","2024","3/30/2024 22:24","2024","18","13","Secao 1","Carga 4","GRANEL LÍQUIDO","Grupo 8","Navio 71","7326579","Carga Geral","Grande","Chuva","Extrema","Sábado","Noite","Ilhéus","Aratu"
"Embarque","LC","PERU","AMERICA DO SUL","103","Aratu","1/11/2024 10:10","1","2024","1/12/2024 19:10","2024","33","14","Secao 2","Carga 2","GRANEL SÓLIDO","Grupo 10","Navio 72","8679608","Breakbulk","Pequeno","Chuva","Baixa","Sábado","Tarde","Salvador","Aratu"
"Descarga","CB","CHINA","ASIA","101","Aratu","9/18/2024 20:07","9","2024","9/20/2024 8:07","2024","36","12","Secao 3","Carga 2","GRANEL LÍQUIDO","Grupo 3","Navio 73","8073608","Tanque","Pequeno","Instável","Alta","Domingo","Noite","Salvador","Aratu"
"Embarque","CB","BRASIL","AMERICA DO SUL","202","Salvador","8/25/2024 18:48","8","2024","8/27/2024 2:48","2024","32","5","Secao 8","Carga 1","PROJETO","Grupo 8","Navio 74","9648221","Carga Geral","Médio","Instável","Normal","Quarta","Noite","Ilhéus","Salvador"
"Descarga","LC","BRASIL","AMERICA DO SUL","103","Aratu","1/20/2024 1:23","1","2024","1/20/2024 23:23","2024","22","20","Secao 10","Carga 5","GRANEL SÓLIDO","Grupo 8","Navio 75","9434077","Breakbulk","Grande","Sol","Extrema","Domingo","Noite","Aratu","Aratu"
"Embarque","LC","URUGUAI","AMERICA DO SUL","202","Salvador","8/31/2024 16:09","8","2024","8/31/2024 23:09","2024","7","11","Secao 2","Carga 5","GRANEL SÓLIDO","Grupo 1","Navio 76","8039112","Frigorificado","Médio","Instável","Alta","Quarta","Tarde","Aratu","Salvador"
"Embarque","LC","EUA","AMERICA DO NORTE","202","Aratu","6/22/2024 21:38","6","2024","6/23/2024 4:38","2024","7","11","Secao 2","Carga 5","GRANEL LÍQUIDO","Grupo 5","Navio 77","8056946","Breakbulk","Pequeno","Chuva","Normal","Sexta","Noite","Aratu","Aratu"
"Descarga","CB","ARGENTINA","AMERICA DO SUL","201","Aratu","12/23/2024 21:25","12","2024","12/24/2024 9:25","2024","12","18","Secao 7","Carga 3","GRANEL SÓLIDO","Grupo 9","Navio 78","7391970","Frigorificado","Grande","Chuva","Normal","Quarta","Tarde","Aratu","Aratu"
"Descarga","LC","ARGENTINA","AMERICA DO SUL","202","Salvador","9/5/2024 6:14","9","2024","9/5/2024 18:14","2024","12","10","Secao 2","Carga 5","GRANEL SÓLIDO","Grupo 6","Navio 79","9592211","Tanque","Grande","Chuva","Alta","Terça","Manhã","Aratu","Salvador"
"Embarque","CB","FRANÇA","EUROPA","203","Salvador","1/23/2024 13:23","1","2024","1/24/2024 8:23","2024","19","15","Secao 4","Carga 5","GRANEL SÓLIDO","Grupo 5","Navio 80","8967194","Tanque","Médio","Instável","Extrema","Quinta","Tarde","Ilhéus","Salvador"
"Embarque","LC","PERU","AMERICA DO SUL","104","Ilhéus","3/23/2024 6:51","3","2024","3/23/2024 18:51","2024","12","16","Secao 6","Carga 5","GRANEL LÍQUIDO","Grupo 9","Navio 81","7522936","Carga Geral","Pequeno","Sol","Baixa","Quinta","Noite","Ilhéus","Ilhéus"
"Embarque","LC","ARGENTINA","AMERICA DO SUL","102","Aratu","8/18/2024 11:59","8","2024","8/18/2024 16:59","2024","5","13","Secao 9","Carga 3","GRANEL SÓLIDO","Grupo 7","Navio 82","7342278","Carga Geral","Pequeno","Sol","Baixa","Segunda","Noite","Salvador","Aratu"
"Descarga","CB","URUGUAI","AMERICA DO SUL","102","Aratu","1/20/2024 9:58","1","2024","1/21/2024 19:58","2024","34","15","Secao 10","Carga 1","GRANEL LÍQUIDO","Grupo 1","Navio 83","8073422","Tanque","Pequeno","Instável","Extrema","Segunda","Tarde","Salvador","Aratu"
"Descarga","LC","CHINA","ASIA","101","Aratu","5/2/2024 13:40","5","2024","5/3/2024 22:40","2024","33","16","Secao 10","Carga 5","GRANEL LÍQUIDO","Grupo 9","Navio 84","9411923","Tanque","Grande","Sol","Baixa","Quinta","Manhã","Salvador","Aratu"
"Embarque","LC","FRANÇA","EUROPA","105","Aratu","8/1/2024 5:42","8","2024","8/1/2024 14:42","2024","9","17","Secao 9","Carga 5","GRANEL LÍQUIDO","Grupo 7","Navio 85","8971889","Graneleiro","Grande","Chuva","Baixa","Quarta","Noite","Salvador","Aratu"
"Embarque","LC","ALEMANHA","EUROPA","103","Aratu","5/3/2024 23:42","5","2024","5/4/2024 9:42","2024","10","2","Secao 6","Carga 5","GRANEL SÓLIDO","Grupo 3","Navio 86","9871766","Frigorificado","Grande","Chuva","Alta","Domingo","Manhã","Salvador","Aratu"
"Descarga","CB","BRASIL","AMERICA DO SUL","101","Ilhéus","5/30/2024 6:02","5","2024","5/30/2024 22:02","2024","16","10","Secao 9","Carga 4","GRANEL SÓLIDO","Grupo 5","Navio 87","7153598","Tanque","Médio","Chuva","Normal","Domingo","Noite","Aratu","Ilhéus"
"Embarque","CB","CANADÁ","AMERICA DO NORTE","202","Aratu","7/7/2024 13:56","7","2024","7/8/2024 18:56","2024","29","11","Secao 3","Carga 4","GRANEL LÍQUIDO","Grupo 6","Navio 88","9178000","Carga Geral","Pequeno","Instável","Extrema","Segunda","Tarde","Salvador","Aratu"
"Embarque","CB","FRANÇA","EUROPA","203","Salvador","6/13/2024 3:05","6","2024","6/14/2024 3:05","2024","24","15","Secao 10","Carga 4","GRANEL SÓLIDO","Grupo 8","Navio 89","8474494","Frigorificado","Pequeno","Instável","Baixa","Sexta","Tarde","Ilhéus","Salvador"
"Descarga","LC","EUA","AMERICA DO NORTE","101","Ilhéus","12/9/2024 20:25","12","2024","12/10/2024 23:25","2024","27","5","Secao 10","Carga 4","GRANEL LÍQUIDO","Grupo 3","Navio 90","7281997","Tanque","Grande","Chuva","Baixa","Quinta","Noite","Salvador","Ilhéus"
